username,user_url,location,num_issues_created,first_issue_created_at,last_issue_created_at,num_prs_created,first_pr_created_at,last_pr_created_at,is_user_based_in_netherlands
nazliander,https://github.com/nazliander,Netherlands,1,2023-11-04 20:25:02,2023-11-04 20:25:02,1,2023-11-04 20:25:02,2023-11-04 20:25:02,true
AaronCoquet-Easypark,https://github.com/AaronCoquet-Easypark,"Amsterdam, NL",4,2022-11-14 08:41:43,2023-08-04 11:33:21,1,2023-01-26 10:00:02,2023-01-26 10:00:02,true
pgoslatara,https://github.com/pgoslatara,"Amsterdam, Netherlands",14,2021-11-11 15:26:29,2023-07-15 18:06:01,8,2021-11-11 15:26:29,2023-07-15 18:06:01,true
ramonvermeulen,https://github.com/ramonvermeulen,Utrecht,2,2023-03-17 13:52:45,2023-03-17 14:11:19,1,2023-03-17 13:52:45,2023-03-17 13:52:45,true
bashyroger,https://github.com/bashyroger,Netherlands,13,2020-02-04 08:57:27,2022-10-31 19:24:37,1,2020-07-09 08:06:17,2020-07-09 08:06:17,true
bneijt,https://github.com/bneijt,The Netherlands,2,2022-03-25 13:45:26,2022-06-17 14:10:27,1,2022-06-17 14:10:27,2022-06-17 14:10:27,true
smitsrr,https://github.com/smitsrr,"Utrecht, NL",3,2022-05-11 07:21:38,2023-06-14 07:35:58,2,2022-08-01 15:45:32,2023-06-14 07:35:58,true
rvacaru,https://github.com/rvacaru,Amsterdam,2,2020-12-23 17:47:28,2021-09-17 15:11:44,2,2020-12-23 17:47:28,2021-09-17 15:11:44,true
bastienboutonnet,https://github.com/bastienboutonnet,"Amsterdam, The Netherlands",11,2019-04-22 14:02:59,2021-03-31 08:41:44,6,2019-04-22 14:02:59,2021-03-08 19:46:05,true
joelluijmes,https://github.com/joelluijmes,The Netherlands,4,2020-09-11 08:12:59,2020-10-08 10:48:29,3,2020-09-11 08:12:59,2020-10-08 10:48:29,true
alla-bongard,https://github.com/alla-bongard,Amsterdam,2,2021-07-02 10:01:00,2022-08-12 14:49:01,1,2022-08-12 14:49:01,2022-08-12 14:49:01,true
bjgbeelen,https://github.com/bjgbeelen,The Netherlands,2,2020-04-07 20:19:24,2020-04-16 13:15:39,2,2020-04-07 20:19:24,2020-04-16 13:15:39,true
charlottevdscheun,https://github.com/charlottevdscheun,Amsterdam,1,2020-10-30 14:24:03,2020-10-30 14:24:03,1,2020-10-30 14:24:03,2020-10-30 14:24:03,true
erkanncelen,https://github.com/erkanncelen,Amsterdam,3,2022-12-21 11:21:42,2023-01-30 11:10:16,2,2023-01-27 16:00:56,2023-01-30 11:10:16,true
armandduijn,https://github.com/armandduijn,Eindhoven,3,2021-11-05 13:02:36,2023-02-28 09:08:41,2,2021-11-05 13:02:36,2022-01-20 10:23:44,true
danielvdende,https://github.com/danielvdende,Netherlands,2,2020-12-23 09:13:22,2020-12-23 09:20:28,1,2020-12-23 09:20:28,2020-12-23 09:20:28,true
mstfkmlbsbdk2023,https://github.com/mstfkmlbsbdk2023,Netherlands,2,2023-09-05 14:41:33,2023-10-20 09:52:17,,,,true
Gwildor,https://github.com/Gwildor,"Rotterdam, the Netherlands",1,2023-06-02 09:37:24,2023-06-02 09:37:24,,,,true
Dikootje,https://github.com/Dikootje,Netherlands,1,2022-10-07 13:26:35,2022-10-07 13:26:35,,,,true
fcraposo,https://github.com/fcraposo,"Amsterdam, Netherlands",1,2020-04-09 11:00:18,2020-04-09 11:00:18,,,,true
velppa,https://github.com/velppa,Amsterdam,3,2019-01-29 22:16:02,2019-02-12 14:57:59,,,,true
tomekzbrozek,https://github.com/tomekzbrozek,Amsterdam / Gliwice,2,2018-09-14 15:58:27,2020-04-02 10:34:46,,,,true
AcidFlow,https://github.com/AcidFlow,Amsterdam,1,2020-05-30 09:57:59,2020-05-30 09:57:59,,,,true
Tbodewes,https://github.com/Tbodewes,Amsterdam,1,2020-05-06 12:28:21,2020-05-06 12:28:21,,,,true
mr78623451915,https://github.com/mr78623451915,"Eindhoven, The Netherlands",1,2022-08-16 20:39:39,2022-08-16 20:39:39,,,,true
Javier162380,https://github.com/Javier162380,Amsterdam,1,2020-03-31 09:22:18,2020-03-31 09:22:18,,,,true
tjirab,https://github.com/tjirab,Netherlands,6,2021-10-12 07:59:19,2023-07-21 12:27:03,6,2021-10-12 07:59:19,2023-07-21 12:27:03,true
farfromunique,https://github.com/farfromunique,"Amsterdam, NL",1,2022-08-08 09:43:29,2022-08-08 09:43:29,1,2022-08-08 09:43:29,2022-08-08 09:43:29,true
krisjan-oldekamp,https://github.com/krisjan-oldekamp,"Amsterdam, Netherlands",1,2021-12-06 08:43:22,2021-12-06 08:43:22,1,2021-12-06 08:43:22,2021-12-06 08:43:22,true
uncletoxa,https://github.com/uncletoxa,"Amsterdam, Netherlands",1,2022-05-22 20:41:24,2022-05-22 20:41:24,1,2022-05-22 20:41:24,2022-05-22 20:41:24,true
lassebenni,https://github.com/lassebenni,Netherlands,3,2022-05-12 07:20:59,2023-05-11 16:32:31,1,2022-08-01 18:15:09,2022-08-01 18:15:09,true
FlorianSchroevers,https://github.com/FlorianSchroevers,Amsterdam,1,2023-10-23 14:27:06,2023-10-23 14:27:06,1,2023-10-23 14:27:06,2023-10-23 14:27:06,true
dan1elt0m,https://github.com/dan1elt0m,Amsterdam,1,2022-04-22 13:20:10,2022-04-22 13:20:10,1,2022-04-22 13:20:10,2022-04-22 13:20:10,true
bilalaslamseattle,https://github.com/bilalaslamseattle,"Amsterdam, NL",1,2021-12-15 05:00:59,2021-12-15 05:00:59,,,,true
danielmast,https://github.com/danielmast,"Delft, The Netherlands",1,2022-11-30 14:08:00,2022-11-30 14:08:00,,,,true
ZhouSu89,https://github.com/ZhouSu89,Oegstgeest,1,2023-02-10 09:25:25,2023-02-10 09:25:25,,,,true
ArthurMro,https://github.com/ArthurMro,Amsterdam,1,2023-06-07 13:16:34,2023-06-07 13:16:34,,,,true
joris-swapfiets,https://github.com/joris-swapfiets,Amsterdam,2,2022-09-28 11:20:27,2023-06-16 11:47:47,,,,true
Thootje,https://github.com/Thootje,Amsterdam,1,2023-05-03 07:40:41,2023-05-03 07:40:41,,,,true
rloredo,https://github.com/rloredo,Amsterdam,2,2022-09-05 14:19:26,2022-12-02 10:27:05,,,,true
Luttik,https://github.com/Luttik,The Netherlands,8,2021-06-22 08:26:24,2022-03-04 14:22:36,4,2021-06-26 14:00:27,2022-03-01 13:46:08,true
NielsZeilemaker,https://github.com/NielsZeilemaker,Delft,3,2019-12-22 09:50:31,2020-02-18 08:20:20,3,2019-12-22 09:50:31,2020-02-18 08:20:20,true
JCZuurmond,https://github.com/JCZuurmond,Amsterdam,43,2021-02-26 13:12:29,2023-09-29 08:50:48,21,2021-03-17 14:36:14,2023-09-29 08:50:48,true
renanleme,https://github.com/renanleme,"Amsterdam, Netherlands",2,2023-09-22 15:24:52,2023-09-22 20:30:14,1,2023-09-22 20:30:14,2023-09-22 20:30:14,true
bbroeksema,https://github.com/bbroeksema,Netherlands,1,2022-08-31 21:17:57,2022-08-31 21:17:57,1,2022-08-31 21:17:57,2022-08-31 21:17:57,true
ricklamers,https://github.com/ricklamers,Amsterdam,1,2022-01-05 09:37:57,2022-01-05 09:37:57,1,2022-01-05 09:37:57,2022-01-05 09:37:57,true
Fokko,https://github.com/Fokko,Netherlands,46,2019-12-04 17:59:11,2023-09-29 08:58:00,32,2019-12-04 17:59:11,2023-09-29 08:58:00,true
